synth_id,prompt_coda_id,prompt_clean_idx,unit,coda_type,audio_path
19,945,857,F,6i,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0019.wav
20,526,485,D,6i,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0020.wav
21,1355,1243,F,7D1,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0021.wav
22,85,79,A,1+1+3,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0022.wav
23,154,133,A,6i,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0023.wav
24,869,795,F,1+1+3,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0024.wav
25,1147,1052,F,4D,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0025.wav
26,1247,1147,F,1+1+3,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0026.wav
27,748,691,F,8i,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0027.wav
28,66,61,A,1+1+3,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0028.wav
29,1387,1274,F,7D1,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0029.wav
30,339,305,D,7i,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0030.wav
31,604,556,D,9i,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0031.wav
32,1201,1105,F,4D,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0032.wav
33,294,260,D,1+1+3,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0033.wav
34,73,68,A,1+1+3,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0034.wav
35,142,123,A,1+1+3,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0035.wav
36,317,283,D,5R1,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0036.wav
37,1076,982,F,1+1+3,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0037.wav
38,30,27,A,7D1,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0038.wav
39,343,309,D,5R1,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0039.wav
40,1130,1035,F,4D,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0040.wav
41,401,366,D,1+1+3,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0041.wav
42,491,452,D,5R1,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0042.wav
43,32,29,A,7i,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0043.wav
44,1030,939,F,1+1+3,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0044.wav
45,21,19,A,6i,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0045.wav
46,132,114,A,4R2,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0046.wav
47,526,485,D,6i,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0047.wav
48,45,40,A,4R2,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0048.wav
49,343,309,D,5R1,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0049.wav
50,1357,1245,F,1+1+3,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0050.wav
51,978,890,F,4D,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0051.wav
52,225,194,A,1+1+3,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0052.wav
53,553,511,D,1+1+3,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0053.wav
54,1337,1231,F,1+1+3,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0054.wav
55,72,67,A,1+1+3,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0055.wav
56,185,161,A,1+1+3,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0056.wav
57,96,86,A,1+1+3,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0057.wav
58,317,283,D,5R1,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0058.wav
59,431,394,D,5R1,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0059.wav
60,47,42,A,4R2,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0060.wav
61,129,111,A,4R2,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0061.wav
62,72,67,A,1+1+3,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0062.wav
63,632,584,F,1+1+3,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0063.wav
64,431,394,D,5R1,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0064.wav
65,52,47,A,4R2,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0065.wav
66,187,162,A,2+3,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0066.wav
67,269,236,A,7i,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0067.wav
68,39,34,A,9R,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0068.wav
69,267,234,A,6i,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0069.wav
70,746,689,F,8i,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0070.wav
71,316,282,D,5R1,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0071.wav
72,1429,1316,F,7D1,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0072.wav
73,557,515,D,1+1+3,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0073.wav
74,300,266,D,1+1+3,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0074.wav
75,138,120,A,4R2,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0075.wav
76,265,232,A,5R1,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0076.wav
77,1181,1085,F,7D1,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0077.wav
78,1496,1377,F,1+1+3,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0078.wav
79,253,221,A,4R2,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0079.wav
80,357,323,D,5R1,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0080.wav
81,1198,1102,F,4D,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0081.wav
82,255,223,A,4R2,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0082.wav
83,5,4,A,5R3,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0083.wav
84,666,616,F,1+1+3,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0084.wav
85,1405,1292,F,7D1,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0085.wav
86,365,331,D,5R1,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0086.wav
87,293,259,D,1+1+3,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0087.wav
88,88,82,A,1+1+3,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0088.wav
89,882,808,F,4D,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0089.wav
90,468,429,D,8i,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0090.wav
91,75,70,A,1+1+3,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0091.wav
92,182,159,A,1+1+3,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0092.wav
93,90,84,A,9i,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0093.wav
94,917,840,F,1+1+3,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0094.wav
95,923,846,F,5R1,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0095.wav
96,643,595,F,8i,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0096.wav
97,89,83,A,1+1+3,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0097.wav
98,469,430,D,5R1,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0098.wav
99,1001,911,F,4D,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0099.wav
100,501,462,D,1+1+3,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0100.wav
101,846,777,F,1+1+3,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0101.wav
102,555,513,D,1+1+3,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0102.wav
103,489,450,D,5R2,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0103.wav
104,1193,1097,F,4D,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0104.wav
105,470,431,D,1+1+3,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0105.wav
106,150,131,A,1+1+3,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0106.wav
107,1364,1252,F,4R1,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0107.wav
108,210,182,A,1+1+3,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0108.wav
109,432,395,D,5R1,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0109.wav
110,131,113,A,4R2,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0110.wav
111,241,209,A,4R2,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0111.wav
112,382,348,D,6i,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0112.wav
113,331,297,D,5R1,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0113.wav
114,881,807,F,10i,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0114.wav
115,236,204,A,4R2,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0115.wav
116,213,184,A,1+1+3,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0116.wav
117,1187,1091,F,10R,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0117.wav
118,362,328,D,5R1,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0118.wav
119,138,120,A,4R2,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0119.wav
120,607,559,D,5R1,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0120.wav
121,163,142,A,3D,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0121.wav
122,50,45,A,4R2,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0122.wav
123,129,111,A,4R2,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0123.wav
124,1103,1008,F,4D,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0124.wav
125,248,216,A,4R2,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0125.wav
126,765,703,F,1+1+3,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0126.wav
127,271,238,A,9i,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0127.wav
128,21,19,A,6i,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0128.wav
129,293,259,D,1+1+3,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0129.wav
130,287,253,D,5R1,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0130.wav
131,329,295,D,5R1,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0131.wav
132,65,60,A,1+1+3,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0132.wav
133,9,8,A,5R3,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0133.wav
134,507,468,D,5R1,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0134.wav
135,988,898,F,4D,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0135.wav
136,1475,1358,F,1+31,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0136.wav
137,1114,1019,F,1+1+3,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0137.wav
138,292,258,D,1+1+3,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0138.wav
139,115,100,A,4R2,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0139.wav
140,358,324,D,5R1,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0140.wav
141,52,47,A,4R2,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0141.wav
142,356,322,D,5R1,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0142.wav
143,606,558,D,1+1+3,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0143.wav
144,1007,916,F,1+1+3,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0144.wav
145,327,293,D,5R1,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0145.wav
146,1143,1048,F,4D,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0146.wav
147,1305,1202,F,1+1+3,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0147.wav
148,58,53,A,1+1+3,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0148.wav
149,419,382,D,7i,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0149.wav
150,938,853,F,1+1+3,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0150.wav
151,572,530,D,1+1+3,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0151.wav
152,636,588,F,1+1+3,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0152.wav
153,6,5,A,5R3,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0153.wav
154,450,412,D,1+1+3,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0154.wav
155,1173,1077,F,7D1,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0155.wav
156,1476,1359,F,5R1,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0156.wav
157,10,9,A,5R3,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0157.wav
158,102,91,A,1+1+3,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0158.wav
159,267,234,A,6i,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0159.wav
160,285,251,D,1+1+3,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0160.wav
161,238,206,A,4R2,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0161.wav
162,336,302,D,5R1,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0162.wav
163,78,72,A,5R1,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0163.wav
164,267,234,A,6i,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0164.wav
165,1424,1311,F,7D1,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0165.wav
166,694,644,F,10i,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0166.wav
167,889,815,F,5R1,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0167.wav
168,764,702,F,1+1+3,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0168.wav
169,538,496,D,5R1,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0169.wav
170,162,141,A,3D,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0170.wav
171,1359,1247,F,3R,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0171.wav
172,477,438,D,5R1,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0172.wav
173,624,576,F,2+3,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0173.wav
174,6,5,A,5R3,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0174.wav
175,370,336,D,5R1,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0175.wav
176,69,64,A,1+1+3,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0176.wav
177,580,535,D,1+1+3,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0177.wav
178,522,481,D,5R1,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0178.wav
179,492,453,D,1+1+3,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0179.wav
180,1379,1267,F,5R1,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0180.wav
181,1362,1250,F,3R,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0181.wav
182,1228,1132,F,6i,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0182.wav
183,1154,1059,F,4D,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0183.wav
184,1365,1253,F,4R1,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0184.wav
185,132,114,A,4R2,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0185.wav
186,1483,1364,F,1+1+3,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0186.wav
187,1328,1222,F,5R1,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0187.wav
188,400,365,D,1+1+3,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0188.wav
189,279,246,D,1+1+3,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0189.wav
190,320,286,D,5R1,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0190.wav
191,202,175,A,1+1+3,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0191.wav
192,455,417,D,1+1+3,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0192.wav
193,1259,1159,F,1+1+3,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0193.wav
194,10,9,A,5R3,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0194.wav
195,1375,1263,F,5R1,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0195.wav
196,547,505,D,5R1,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0196.wav
197,102,91,A,1+1+3,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0197.wav
198,1332,1226,F,1+1+3,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0198.wav
199,550,508,D,5R1,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0199.wav
200,284,250,D,1+1+3,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0200.wav
201,570,528,D,1+1+3,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0201.wav
202,34,31,A,7i,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0202.wav
203,568,526,D,5R1,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0203.wav
204,262,229,A,1+1+3,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0204.wav
205,522,481,D,5R1,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0205.wav
206,1145,1050,F,4D,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0206.wav
207,1475,1358,F,1+31,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0207.wav
208,463,424,D,1+1+3,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0208.wav
209,893,819,F,5R1,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0209.wav
210,642,594,F,1+1+3,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0210.wav
211,58,53,A,1+1+3,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0211.wav
212,295,261,D,1+1+3,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0212.wav
213,79,73,A,1+1+3,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0213.wav
214,544,502,D,5R1,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0214.wav
215,54,49,A,4R2,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0215.wav
216,943,855,F,6i,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0216.wav
217,350,316,D,5R1,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0217.wav
218,75,70,A,1+1+3,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0218.wav
219,1301,1198,F,5R2,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0219.wav
220,472,433,D,1+1+3,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0220.wav
221,278,245,D,1+1+3,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0221.wav
222,12,11,A,5R1,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0222.wav
223,36,32,A,8i,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0223.wav
224,147,128,A,1+1+3,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0224.wav
225,190,164,A,3D,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0225.wav
226,136,118,A,4R2,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0226.wav
227,10,9,A,5R3,/Users/joaoquintanilha/Downloads/data_297_final_paper/datasets/synthetic_audio/synth_0227.wav
